race_id,日付,レース,馬名,AREru指数,人気,実着順,3着内,AREru順位,指数帯
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602060920260712/B1,2026-07-12,9,サルワールカミーズ,42.0,3.0,10.0,0,1,40〜50
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050320260711/43,2026-07-11,3,レオンティウス,40.0,1.0,1.0,1,1,35〜40
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602060820260712/47,2026-07-12,8,ミリタリータトゥー,40.0,2.0,1.0,1,1,35〜40
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602030320260704/3A,2026-07-04,3,イントゥザウインド,34.0,2.0,3.0,1,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602060120260712/54,2026-07-12,1,ベルセクレト,34.0,3.0,7.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050320260711/43,2026-07-11,3,コスモシグナス,32.0,6.0,13.0,0,2,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602030820260704/0E,2026-07-04,8,エルル,32.0,5.0,10.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601080120260705/51,2026-07-05,1,キチロクタワー,32.0,4.0,3.0,1,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601101020260712/89,2026-07-12,10,エコロレバン,31.43,2.0,12.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041120260705/9D,2026-07-05,11,サウンドモリアーナ,30.8,8.0,6.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602041120260705%2F9D,2026-07-05,11,サウンドモリアーナ,30.8,8.0,6.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090720260711/68,2026-07-11,7,ターンザテーブルス,30.67,1.0,7.0,0,1,30〜35
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050320260711/43,2026-07-11,3,ペアスターロード,30.0,2.0,10.0,0,4,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602061020260712/A6,2026-07-12,10,チギリ,30.0,4.0,10.0,0,1,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1010202602040220260705/00,2026-07-05,2,ヘキレキ,30.0,4.0,7.0,0,1,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602050320260711/43,2026-07-11,3,キャピタルストーン,30.0,3.0,2.0,1,3,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601090920260711/D2,2026-07-11,9,エトワールブーケ,29.78,6.0,3.0,1,1,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601081020260705/EE,2026-07-05,10,リアルファインド,29.07,8.0,6.0,0,1,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1003202602060920260712/B1,2026-07-12,9,サフランルージュ,28.78,9.0,6.0,0,2,25〜30
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601071020260704/BE,2026-07-04,10,ケイアイアギト,28.53,1.0,1.0,1,1,25〜30
