指数重み,人気重み,オッズ重み,レース数,3着内,複勝率
0.5,0.0,0.0,146,61,41.78082191780822
0.5,0.0,0.1,146,61,41.78082191780822
0.5,0.0,0.25,146,61,41.78082191780822
0.5,0.0,0.5,146,61,41.78082191780822
1.0,0.0,0.0,146,61,41.78082191780822
1.0,0.0,0.1,146,61,41.78082191780822
1.0,0.0,0.25,146,61,41.78082191780822
1.0,0.0,0.5,146,61,41.78082191780822
1.5,0.0,0.0,146,61,41.78082191780822
1.5,0.0,0.1,146,61,41.78082191780822
1.5,0.0,0.25,146,61,41.78082191780822
1.5,0.0,0.5,146,61,41.78082191780822
2.0,0.0,0.0,146,61,41.78082191780822
2.0,0.0,0.1,146,61,41.78082191780822
2.0,0.0,0.25,146,61,41.78082191780822
2.0,0.0,0.5,146,61,41.78082191780822
2.0,0.5,0.0,146,48,32.87671232876712
2.0,0.5,0.1,146,48,32.87671232876712
2.0,0.5,0.25,146,48,32.87671232876712
2.0,0.5,0.5,146,48,32.87671232876712
1.0,0.5,0.0,146,45,30.82191780821918
1.0,0.5,0.1,146,45,30.82191780821918
1.0,0.5,0.25,146,45,30.82191780821918
1.0,0.5,0.5,146,45,30.82191780821918
2.0,1.0,0.0,146,45,30.82191780821918
2.0,1.0,0.1,146,45,30.82191780821918
2.0,1.0,0.25,146,45,30.82191780821918
2.0,1.0,0.5,146,45,30.82191780821918
1.5,0.5,0.0,146,44,30.136986301369863
1.5,0.5,0.1,146,44,30.136986301369863
1.5,0.5,0.25,146,44,30.136986301369863
1.5,0.5,0.5,146,44,30.136986301369863
1.5,1.0,0.0,146,36,24.65753424657534
1.5,1.0,0.1,146,36,24.65753424657534
1.5,1.0,0.25,146,36,24.65753424657534
1.5,1.0,0.5,146,36,24.65753424657534
2.0,1.5,0.0,146,35,23.972602739726025
2.0,1.5,0.1,146,35,23.972602739726025
2.0,1.5,0.25,146,35,23.972602739726025
2.0,1.5,0.5,146,35,23.972602739726025
0.5,0.5,0.0,146,30,20.54794520547945
0.5,0.5,0.1,146,30,20.54794520547945
0.5,0.5,0.25,146,30,20.54794520547945
0.5,0.5,0.5,146,30,20.54794520547945
1.0,1.0,0.0,146,30,20.54794520547945
1.0,1.0,0.1,146,30,20.54794520547945
1.0,1.0,0.25,146,30,20.54794520547945
1.0,1.0,0.5,146,30,20.54794520547945
2.0,2.0,0.0,146,30,20.54794520547945
2.0,2.0,0.1,146,30,20.54794520547945
2.0,2.0,0.25,146,30,20.54794520547945
2.0,2.0,0.5,146,30,20.54794520547945
1.5,1.5,0.0,146,29,19.863013698630137
1.5,1.5,0.1,146,29,19.863013698630137
1.5,1.5,0.25,146,29,19.863013698630137
1.5,1.5,0.5,146,29,19.863013698630137
1.5,2.0,0.0,146,19,13.013698630136986
1.5,2.0,0.1,146,19,13.013698630136986
1.5,2.0,0.25,146,19,13.013698630136986
1.5,2.0,0.5,146,19,13.013698630136986
1.0,1.5,0.0,146,15,10.273972602739725
1.0,1.5,0.1,146,15,10.273972602739725
1.0,1.5,0.25,146,15,10.273972602739725
1.0,1.5,0.5,146,15,10.273972602739725
0.5,1.0,0.0,146,12,8.21917808219178
0.5,1.0,0.1,146,12,8.21917808219178
0.5,1.0,0.25,146,12,8.21917808219178
0.5,1.0,0.5,146,12,8.21917808219178
1.0,2.0,0.0,146,12,8.21917808219178
1.0,2.0,0.1,146,12,8.21917808219178
1.0,2.0,0.25,146,12,8.21917808219178
1.0,2.0,0.5,146,12,8.21917808219178
0.5,1.5,0.0,146,9,6.164383561643835
0.5,1.5,0.1,146,9,6.164383561643835
0.5,1.5,0.25,146,9,6.164383561643835
0.5,1.5,0.5,146,9,6.164383561643835
0.5,2.0,0.0,146,9,6.164383561643835
0.5,2.0,0.1,146,9,6.164383561643835
0.5,2.0,0.25,146,9,6.164383561643835
0.5,2.0,0.5,146,9,6.164383561643835
