日付,レース,頭数
2026-07-04,1,29
2026-07-04,2,50
2026-07-04,3,43
2026-07-04,4,48
2026-07-04,5,32
2026-07-04,6,45
2026-07-04,7,42
2026-07-04,8,35
2026-07-04,9,31
2026-07-04,10,36
2026-07-04,11,40
2026-07-04,12,35
2026-07-05,1,36
2026-07-05,2,44
2026-07-05,3,48
2026-07-05,4,46
2026-07-05,5,33
2026-07-05,6,40
2026-07-05,7,40
2026-07-05,8,30
2026-07-05,9,40
2026-07-05,10,39
2026-07-05,11,52
2026-07-05,12,41
2026-07-11,1,34
2026-07-11,2,45
2026-07-11,3,48
2026-07-11,4,45
2026-07-11,5,34
2026-07-11,6,45
2026-07-11,7,37
2026-07-11,8,39
2026-07-11,9,36
2026-07-11,10,41
2026-07-11,11,33
2026-07-11,12,39
2026-07-12,1,43
2026-07-12,2,42
2026-07-12,3,45
2026-07-12,4,52
2026-07-12,5,34
2026-07-12,6,41
2026-07-12,7,40
2026-07-12,8,32
2026-07-12,9,38
2026-07-12,10,34
2026-07-12,11,41
2026-07-12,12,41
