race_id,レース,荒れ度,判定,穴候補TOP3
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060920260712/40,9,51.42,⚠️ 波乱注意,ホウショウルクス / ショウナンバンライ / トモジャザーン
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061120260712/EA,11,40.97,⚠️ 波乱注意,モンブランミノル / モックモック / ゴッドブルービー
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060720260712/D6,7,28.75,🟢 比較的平穏,コルヴァス / オオツカ / タマモスカイ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060820260712/8B,8,27.34,🟢 比較的平穏,ミリタリータトゥー / メイショウピリカ / ミッキーマーメイド
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061220260712/9F,12,26.91,🟢 比較的平穏,ベルファスト / ウォーターデライト / ジューンオアシス
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060220260712/4D,2,22.46,🟢 比較的平穏,タガノプディング / クロカミジョウ / キャッチアシーフ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602061020260712/35,10,18.37,🟢 比較的平穏,フォーチュンライド / ダノンカゼルタ / ジャスティンガルフ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060320260712/02,3,18.34,🟢 比較的平穏,ダノンワンダー / ラルヴァンダード / チェファルー
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060420260712/B7,4,18.04,🟢 比較的平穏,ブランチアウト / セルヴァジオ / ラミエルノムスコ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060120260712/98,1,15.03,🟢 比較的平穏,ホーリーステップ / ブライトエンジェル / シャンデリュイーズ
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde0110202602060520260712%2F8D,5,0.0,⚪ 過去走データ不足,サイモンレガシー / シュガーハウス / シュプレヒコール
https://www.jra.go.jp/JRADB/accessD.html?CNAME=pw01dde1010202602060620260712/21,6,0.0,⚪ 過去走データ不足,アンドヴェローナ / アトランタ / ジョン
