race_id,開催地,レース,推奨券種,勝負ランク,点数,投資,払戻合計,回収率,的中
202602011001,函館,1,ワイド,C,3,300,0,0.0,False
202602011002,函館,2,ワイド,C,3,300,0,0.0,False
202602011003,函館,3,ワイド,C,3,300,2610,870.0,True
202602011004,函館,4,ワイド,S,3,300,0,0.0,False
202602011005,函館,5,三連複,C,4,400,0,0.0,False
202602011006,函館,6,ワイド,S,2,200,0,0.0,False
202602011007,函館,7,ワイド,A,3,300,0,0.0,False
202602011008,函館,8,ワイド,C,3,300,0,0.0,False
202602011009,函館,9,ワイド,C,3,300,0,0.0,False
202602011010,函館,10,ワイド,C,3,300,0,0.0,False
202602011011,函館,11,ワイド,C,3,300,0,0.0,False
202602011012,函館,12,ワイド,A,3,300,550,183.3,True
202610020601,小倉,1,ワイド,A,3,300,0,0.0,False
202610020602,小倉,2,ワイド,C,3,300,0,0.0,False
202610020603,小倉,3,ワイド,C,3,300,0,0.0,False
202610020604,小倉,4,ワイド,C,3,300,0,0.0,False
202610020605,小倉,5,ワイド,C,3,300,0,0.0,False
202610020606,小倉,6,ワイド,C,3,300,530,176.7,True
202610020607,小倉,7,ワイド,B,3,300,0,0.0,False
202610020608,小倉,8,ワイド,C,2,200,0,0.0,False
202610020609,小倉,9,ワイド,C,3,300,0,0.0,False
202610020611,小倉,11,ワイド,B,3,300,1580,526.7,True
202610020612,小倉,12,ワイド,C,3,300,0,0.0,False
202603020601,福島,1,ワイド,C,3,300,0,0.0,False
202603020602,福島,2,ワイド,B,3,300,0,0.0,False
202603020603,福島,3,ワイド,B,2,200,0,0.0,False
202603020604,福島,4,三連複,C,4,400,0,0.0,False
202603020605,福島,5,三連複,C,6,600,0,0.0,False
202603020606,福島,6,ワイド,B,3,300,0,0.0,False
202603020607,福島,7,ワイド,B,3,300,0,0.0,False
202603020608,福島,8,ワイド,B,3,300,0,0.0,False
202603020609,福島,9,ワイド,C,3,300,0,0.0,False
202603020610,福島,10,ワイド,C,1,100,0,0.0,False
202603020611,福島,11,ワイド,C,3,300,0,0.0,False
202603020612,福島,12,ワイド,C,3,300,0,0.0,False
