補正係数,検証レース,3着内,複勝率,平均人気
0.0,146,71,48.63,3.73
0.1,146,50,34.25,4.9
0.2,146,49,33.56,5.03
0.5,146,45,30.82,5.72
0.4,146,45,30.82,5.51
0.3,146,45,30.82,5.28
0.6,146,38,26.03,6.24
0.8,146,34,23.29,7.18
0.7,146,34,23.29,6.86
0.9,146,33,22.6,7.36
1.0,146,30,20.55,7.86
1.2,146,23,15.75,8.71
1.1,146,23,15.75,8.44
1.3,146,20,13.7,9.11
1.6,146,15,10.27,9.9
1.5,146,15,10.27,9.88
1.4,146,15,10.27,9.69
1.7,146,14,9.59,10.16
2.0,146,12,8.22,10.59
1.9,146,12,8.22,10.4
1.8,146,12,8.22,10.34
2.1,146,11,7.53,10.68
2.4,146,10,6.85,11.29
2.3,146,10,6.85,11.21
2.2,146,10,6.85,10.94
2.5,146,9,6.16,11.34
